   KT            JONSWAP          OUR          ELFOUHAILY       WT  
  154.6506     1.574E-0009     1.362E-0009     7.710E-0010    42.2999
  162.3831     1.359E-0009     1.163E-0009     6.763E-0010    43.6830
  170.5023     1.174E-0009     9.920E-0010     5.934E-0010    45.1411
  179.0274     1.014E-0009     8.442E-0010     5.208E-0010    46.6806
  187.9787     8.763E-0010     7.169E-0010     4.571E-0010    48.3087
  197.3777     7.570E-0010     6.073E-0010     4.011E-0010    50.0332
  207.2466     6.539E-0010     5.131E-0010     3.518E-0010    51.8626
  217.6089     5.649E-0010     4.323E-0010     3.085E-0010    53.8062
  228.4893     4.880E-0010     3.630E-0010     2.703E-0010    55.8742
  239.9138     4.215E-0010     3.038E-0010     2.367E-0010    58.0778
  251.9095     3.641E-0010     2.533E-0010     2.071E-0010    60.4290
  264.5050     3.146E-0010     2.104E-0010     1.810E-0010    62.9409
  277.7302     2.717E-0010     1.840E-0010     1.580E-0010    65.6279
  291.6167     2.347E-0010     1.672E-0010     1.377E-0010    68.5054
  306.1976     2.028E-0010     1.517E-0010     1.199E-0010    71.5901
  321.5074     1.752E-0010     1.373E-0010     1.042E-0010    74.9002
  337.5828     1.513E-0010     1.239E-0010     9.040E-0011    78.4552
  354.4619     1.307E-0010     1.116E-0010     7.827E-0011    82.2762
  372.1850     1.129E-0010     1.003E-0010     6.762E-0011    86.3860
  390.7943     9.754E-0011     8.983E-0011     5.828E-0011    90.8089
  410.3340     8.426E-0011     8.026E-0011     5.011E-0011    95.5715
  430.8507     7.278E-0011     7.151E-0011     4.297E-0011    100.7018
  452.3932     6.287E-0011     6.354E-0011     3.673E-0011    106.2302
  475.0129     5.431E-0011     5.630E-0011     3.130E-0011    112.1895
  498.7636     4.692E-0011     4.974E-0011     2.658E-0011    118.6146
  523.7017     4.053E-0011     4.383E-0011     2.249E-0011    125.5431
  549.8868     3.501E-0011     3.851E-0011     1.895E-0011    133.0152
  577.3812     3.024E-0011     3.375E-0011     1.589E-0011    141.0742
  606.2502     2.613E-0011     2.950E-0011     1.327E-0011    149.7665
  636.5627     2.257E-0011     2.572E-0011     1.101E-0011    159.1417
  668.3909     1.949E-0011     2.237E-0011     9.092E-0012    169.2534
  701.8104     1.684E-0011     1.941E-0011     7.456E-0012    180.1588
  736.9009     1.455E-0011     1.681E-0011     6.072E-0012    191.9193
  773.7460     1.257E-0011     1.452E-0011     4.906E-0012    204.6011
  812.4333     1.086E-0011     1.252E-0011     3.930E-0012    218.2750
  853.0549     9.377E-0012     1.078E-0011     3.118E-0012    233.0171
  895.7077     8.101E-0012     9.259E-0012     2.448E-0012    248.9092
  940.4931     6.998E-0012     7.941E-0012     1.900E-0012    266.0391
  987.5177     6.045E-0012     6.800E-0012     1.456E-0012    284.5014
  1036.8936     5.222E-0012     5.518E-0012     1.100E-0012    304.3975
  1088.7383     4.511E-0012     4.029E-0012     8.176E-0013    325.8364
  1143.1752     3.897E-0012     2.935E-0012     5.974E-0013    348.9355
  1200.3340     3.366E-0012     2.134E-0012     4.281E-0013    373.8209
  1260.3507     2.908E-0012     1.548E-0012     3.002E-0013    400.6281
  1323.3682     2.512E-0012     1.122E-0012     2.056E-0013    429.5030
  1389.5366     2.170E-0012     8.111E-0013     1.371E-0013    460.6024
  1459.0134     1.874E-0012     5.856E-0013     8.879E-0014    494.0950
  1531.9641     1.619E-0012     4.223E-0013     5.566E-0014    530.1622
  1608.5623     1.399E-0012     3.041E-0013     3.366E-0014    568.9992
  1688.9904     1.208E-0012     2.187E-0013     1.956E-0014    610.8160
  1773.4400     1.044E-0012     1.572E-0013     1.087E-0014    655.8385
  1862.1120     9.016E-0013     1.128E-0013     5.754E-0015    704.3095
  1955.2176     7.788E-0013     8.091E-0014     2.884E-0015    756.4906
